file	family_group_id	bucket	proxy	proxy_name	knn_pred	knn12_frac	max_gold_sim	why_selected	is_custom	custom_reasons	base_status	base_construction	base_candidates	evidence	reviewed_by
130922_021710-426978.pdf	fam_87821c89b2f7	model_custom	11	SealEnd	12	0.80	0.741	CLIP-kNN ทาย Custom (80% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SealEnd							
050722_025821.pdf	fam_32432d3931be	model_custom	1	RTE	12	0.80	0.742	CLIP-kNN ทาย Custom (80% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
111022_084954-206491.pdf	fam_2557bf3f2777	model_custom	2	STE	12	0.80	0.755	CLIP-kNN ทาย Custom (80% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
22200399 สินค้าใหม่ Lot.แรก_ศิริวัฒนา_090422_154103.pdf	fam_ed6a44f90881	model_custom	1	RTE	12	0.70	0.606	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
280622_094337.pdf	fam_10a0f5443595	model_custom	2	STE	12	0.70	0.733	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
342201305 ศิริวัฒนา_250522_150308.jpg	fam_faa1adf346d8	model_custom	3	SnapLock	12	0.70	0.623	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
AW_DisplayBox_สเปรย์กันยุง_compressed_060522_140410.pdf	fam_8995124d961a	model_custom	3	SnapLock	12	0.70	0.819	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
280622_022251.pdf	fam_47b7e1b1236e	model_custom	3	SnapLock	12	0.70	0.627	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
140622_032701.pdf	fam_38371cdeb550	model_custom	4	AutoBottom	12	0.70	0.675	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=AutoBottom							
030622_032415.pdf	fam_4edc2b12138d	model_custom	4	AutoBottom	12	0.70	0.671	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=AutoBottom							
JE2203-0244 ลานนาเกษตร_Rep Inner Box LTSP (BAN,STW) Rev14_270422_145605.pdf	fam_acc38c9ff8a9	model_custom	11	SealEnd	12	0.70	0.737	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SealEnd							
300622_022456.pdf	fam_f511b3c3faae	model_custom	11	SealEnd	12	0.70	0.719	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SealEnd							
160722_054655.jpg	fam_d4bdcb9986c0	model_custom	1	RTE	12	0.70	0.464	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
230622_043022.pdf	fam_453d354d7387	model_custom	3	SnapLock	12	0.70	0.744	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
220722_070011.pdf	fam_246641e88612	model_custom	3	SnapLock	12	0.70	0.684	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
031022_060047-978110.pdf	fam_51f9af53ee10	model_custom	3	SnapLock	12	0.70	0.564	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
170223_014347-169099.jpg	fam_dec814e32f0f	model_custom	3	SnapLock	12	0.70	0.697	CLIP-kNN ทาย Custom (70% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
E22040067_180422_153016.pdf	fam_b853fac59b1c	model_custom	2	STE	12	0.60	0.738	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
191122_093912-921233.jpg	fam_effbdf893526	model_custom	11	SealEnd	12	0.60	0.675	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SealEnd							
JE2203-0467 โชติวัฒน์_Rep กล่อง Reveal 12x70g (2TT)New ,350x569mm_110422_133942.pdf	fam_85d8bdc08fa0	model_custom	3	SnapLock	12	0.60	0.773	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
251022_072334-827799.pdf	fam_9655571f000b	model_custom	1	RTE	12	0.60	0.692	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
300922_022248-228957.pdf	fam_1625bab6e285	model_custom	1	RTE	12	0.60	0.696	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
251022_071950-258353.pdf	fam_07f7ad408478	model_custom	1	RTE	12	0.60	0.692	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
140323_041611-846666.pdf	fam_d5cd5b5e4d74	model_custom	2	STE	12	0.60	0.795	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
020622_040821.pdf	fam_66385034b816	model_custom	3	SnapLock	12	0.60	0.741	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
150722_082820.pdf	fam_12cc18661e2e	model_custom	3	SnapLock	12	0.60	0.723	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
050722_084910.pdf	fam_1a383620e124	model_custom	3	SnapLock	12	0.60	0.616	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
260922_090050-152859.pdf	fam_b2b16abc397d	model_custom	3	SnapLock	12	0.60	0.751	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
171022_043253-485513.pdf	fam_c7d3f22efb09	model_custom	3	SnapLock	12	0.60	0.722	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
271222_062334-518754.pdf	fam_5bbe06b615c9	model_custom	3	SnapLock	12	0.60	0.743	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
141222_011134-407792.jpg	fam_e1013102a366	model_custom	3	SnapLock	12	0.60	0.712	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
240822_022949-501729.pdf	fam_f0aac8f2be01	model_custom	4	AutoBottom	12	0.60	0.734	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=AutoBottom							
220822_070413-142677.pdf	fam_40d2e6f0f2fd	model_custom	4	AutoBottom	12	0.60	0.764	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=AutoBottom							
010922_081613-967479.jpg	fam_1409acdbbc75	model_custom	4	AutoBottom	12	0.60	0.624	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=AutoBottom							
051222_013015-662366.jpg	fam_5a0da066aa4b	model_custom	4	AutoBottom	12	0.60	0.568	CLIP-kNN ทาย Custom (60% ของ 10 เพื่อนบ้าน=12) แต่ proxy=AutoBottom							
1650355462982_280422_160508.jpg	fam_2d57423c9fac	model_custom	1	RTE	12	0.50	0.683	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
รูปBloss triple collagen_240522_152326.jpg	fam_f33b51ee3dd4	model_custom	1	RTE	12	0.50	0.596	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
JE2109-0287 ควอลิตี้ คอยส์_Rep.กล่องยากันยุง Low Smoke (ควันน้อย) กลิ่นโรสเมรี่ (ky-15) size137x137x24mm_100522_140506.pdf	fam_3553aefc6fc0	model_custom	1	RTE	12	0.50	0.734	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
300622_072907.pdf	fam_b47da8c16460	model_custom	1	RTE	12	0.50	0.726	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
printed boxes sedeogra_120422_151501.pdf	fam_e95e4764dc91	model_custom	2	STE	12	0.50	0.704	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
E22040233_170522_164835.pdf	fam_a6d427d95dd6	model_custom	2	STE	12	0.50	0.718	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
220622_062029.jpg	fam_c37a3780c9ce	model_custom	2	STE	12	0.50	0.690	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
090622_090501.jpg	fam_baeff6781815	model_custom	2	STE	12	0.50	0.583	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
300822_092547-985615.jpg	fam_7f4de18bd5eb	model_custom	2	STE	12	0.50	0.633	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
090822_082349-643271.pdf	fam_47f53fa70bc5	model_custom	2	STE	12	0.50	0.732	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
300822_081452-669813.pdf	fam_601fa326e70e	model_custom	2	STE	12	0.50	0.732	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
JE2203-0277 เอเชี่ยน_Rep.กล่อง Multipack Applaws CE 8x60g size100x175x101mm (2TT)_070422_143528.pdf	fam_67bd00cd58f7	model_custom	3	SnapLock	12	0.50	0.703	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
ตย งาน_270522_140504.jpg	fam_471e1694eea7	model_custom	3	SnapLock	12	0.50	0.604	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
JE2205-0617 เจี่ยฮงเยลโลพลาส_Rep.กล่อง GIFT BOX (กล่องใน)ใส่อุปกรณ์เครื่องปั๊มนมไฟฟ้า D-2(2PAGB000529)_250522_145726.pdf	fam_76997a36675a	model_custom	3	SnapLock	12	0.50	0.770	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
010722_095009.jpg	fam_d3e024a02b26	model_custom	4	AutoBottom	12	0.50	0.730	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=AutoBottom							
E22040137_250422_115437.pdf	fam_bf27b0bc395b	model_custom	4	AutoBottom	12	0.50	0.745	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=AutoBottom							
020622_055920.jpg	fam_a1e26184a89b	model_custom	4	AutoBottom	12	0.50	0.686	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=AutoBottom							
JE2112-0577 ลานนาเกษตร_Rep.Inner box RPN CPET TRAY(360g)2020 size40.5x127.5x193mm_280422_101902.pdf	fam_f848940a8475	model_custom	11	SealEnd	12	0.50	0.748	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SealEnd							
300622_023136.pdf	fam_142175c0f62f	model_custom	11	SealEnd	12	0.50	0.756	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SealEnd							
160922_093528-189344.jpg	fam_b98b0036dc4d	model_custom	11	SealEnd	12	0.50	0.667	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SealEnd							
191122_094025-216071.jpg	fam_97f699dc3483	model_custom	11	SealEnd	12	0.50	0.680	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SealEnd							
E22040070_040522_142232.pdf	fam_e607ac01d59f	model_custom	2	STE	12	0.50	0.725	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
200722_084703.jpg	fam_32236190ff22	model_custom	1	RTE	12	0.50	0.609	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
230722_034036.jpg	fam_f5105e540090	model_custom	1	RTE	12	0.50	0.652	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
311022_040345-211421.png	fam_ffeecd1466bf	model_custom	1	RTE	12	0.50	0.730	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
271022_040402-886151.jpg	fam_6fda487f291c	model_custom	1	RTE	12	0.50	0.607	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
121022_080807-681113.pdf	fam_821664a4433e	model_custom	1	RTE	12	0.50	0.713	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
051022_063215-965442.pdf	fam_db814796382e	model_custom	1	RTE	12	0.50	0.648	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=RTE							
090822_065450-107331.jpg	fam_041204115162	model_custom	2	STE	12	0.50	0.571	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
130822_074402-996883.pdf	fam_56724c13cf62	model_custom	2	STE	12	0.50	0.779	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
130822_021604-664047.pdf	fam_5b9535d4cb05	model_custom	2	STE	12	0.50	0.770	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
300922_072405-425837.jpg	fam_01fecb8748a0	model_custom	2	STE	12	0.50	0.720	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
111022_092227-898882.pdf	fam_190e14cec64d	model_custom	2	STE	12	0.50	0.626	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
111122_010417-534970.pdf	fam_09ad78a1c9b8	model_custom	2	STE	12	0.50	0.749	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
141222_081218-802583.jpg	fam_403f290ba73e	model_custom	2	STE	12	0.50	0.643	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
160123_080511-422932.pdf	fam_46f7a1538177	model_custom	2	STE	12	0.50	0.755	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
030123_080833-575579.pdf	fam_64d61adc4fed	model_custom	2	STE	12	0.50	0.755	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=STE							
100622_022716.jpg	fam_9acd2245f8c3	model_custom	3	SnapLock	12	0.50	0.632	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
290722_013528.pdf	fam_9c847c7da6c5	model_custom	3	SnapLock	12	0.50	0.732	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
230722_091710.jpg	fam_805b56e57411	model_custom	3	SnapLock	12	0.50	0.634	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
220822_035252-782851.pdf	fam_bb2ac8ce4078	model_custom	3	SnapLock	12	0.50	0.735	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
190822_112559-585332.jpg	fam_0d7d2864f902	model_custom	3	SnapLock	12	0.50	0.725	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
051022_061732-279045.pdf	fam_32e42daf3624	model_custom	3	SnapLock	12	0.50	0.794	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
091222_014701-487615.pdf	fam_d1d3c1a540bd	model_custom	3	SnapLock	12	0.50	0.721	CLIP-kNN ทาย Custom (50% ของ 10 เพื่อนบ้าน=12) แต่ proxy=SnapLock							
